"sosid","name","gov","neia","np","fp","status","date_created","date_terminated","current","humans","animals","plants","syndromic"
"sos1","ArrayExpress",TRUE,FALSE,FALSE,FALSE,"current",2001-01-01,2015-01-01,TRUE,"yes","no","no","blank"
"sos2","BIOTRACER",FALSE,TRUE,FALSE,FALSE,"current",NA,2015-01-01,TRUE,"no","yes","yes","blank"
"sos3","Epidemic IQ (EpiIQ)",FALSE,FALSE,TRUE,FALSE,"current",2012-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos4","Euronet P4",TRUE,FALSE,FALSE,FALSE,"absorbed",2005-01-01,2011-01-01,FALSE,"neia","neia","neia","no"
"sos5","FoodSHIELD",TRUE,FALSE,FALSE,FALSE,"current",2004-01-01,2015-01-01,TRUE,"no","yes","yes","blank"
"sos6","GenBank",TRUE,FALSE,FALSE,FALSE,"current",1982-01-01,2015-01-01,TRUE,"yes","yes","yes","blank"
"sos7","Immune Epitope Database and Analysis Resource (IEDB)",TRUE,FALSE,FALSE,FALSE,"current",2008-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos8","National Association of Health Data Organizations (NAHDO)",FALSE,FALSE,TRUE,FALSE,"current",1986-01-01,2015-01-01,TRUE,"yes","no","no","blank"
"sos9","Organisations de Coordination et de Cooperation pour la luttle Conre les Grandes Endemies (OCCGE)",TRUE,FALSE,FALSE,FALSE,"absorbed",1960-01-01,1998-01-01,FALSE,"yes","yes","no","blank"
"sos10","Patho Systems Resource Integration Center (PATRIC)",FALSE,FALSE,TRUE,FALSE,"current",2009-01-01,2015-01-01,TRUE,"yes","yes","yes","blank"
"sos11","RES-ONERBA",FALSE,TRUE,FALSE,FALSE,"current",1997-01-01,2015-01-01,TRUE,"yes","no","no","neia"
"sos12","Systeme National D'information Sanitaire (National Health information System), Niger",TRUE,FALSE,FALSE,FALSE,"terminated",2005-01-01,2009-01-01,FALSE,"yes","yes","no","blank"
"sos13","Virus Pathogen Database and Analysis Resource (ViPR)",FALSE,FALSE,TRUE,TRUE,"current",NA,2015-01-01,TRUE,"neia","neia","neia","no"
"sos14","National Capital Region Disease Surveillance Network (NCR)",TRUE,FALSE,TRUE,FALSE,"terminated",2004-01-01,2011-01-01,FALSE,"yes","no","no","yes"
"sos15","New South Wales ED surveillance system",TRUE,FALSE,FALSE,FALSE,"neia",NA,NA,FALSE,"yes","no","no","yes"
"sos16","infectious Disease Surveillance for the London 2012 Olympic and Paralympic Games",TRUE,FALSE,FALSE,FALSE,"terminated",2012-01-01,2012-01-01,FALSE,"yes","no","no","yes"
"sos17","Neurologic Surveillance and Testing (NST)",TRUE,FALSE,FALSE,FALSE,"current",1998-01-01,2015-01-01,TRUE,"yes","no","no","no"
"sos18","IDSurv",FALSE,FALSE,TRUE,FALSE,"terminated",2012-01-01,2014-01-01,FALSE,"yes","no","no","yes"
"sos19","New Vaccine Surveillance Network (NVSN)",TRUE,FALSE,FALSE,FALSE,"current",2006-01-01,2015-01-01,TRUE,"yes","no","no","yes"
"sos20","East Africa Integrated Disease Surveillance Network",TRUE,FALSE,FALSE,FALSE,"current",2000-01-01,2015-01-01,TRUE,"yes","yes","no","blank"
"sos21","Eastern Mediterranean Region Acute Respiratory infection Surveillance (EMARIS) Network",TRUE,FALSE,FALSE,FALSE,"neia",2008-01-01,NA,FALSE,"yes","no","no","no"
